Date,Open,High,Low,Adj Close,Close,Volume
2020-09-30,218.0,218.25,213.9,216.65,217.0,3645700
2020-09-29,214.05,218.5,210.8,211.65,216.65,4723206
2020-09-28,206.6,212.55,205.55,205.5,211.65,2153072
2020-09-25,201.7,206.7,199.0,198.25,205.5,4205656
2020-09-24,206.15,208.2,197.45,209.25,198.25,3309215
2020-09-23,206.4,211.4,204.55,206.8,209.25,4129810
2020-09-22,209.5,210.55,203.0,209.75,206.8,3532428
2020-09-21,220.0,220.25,207.7,220.0,209.75,2412725
2020-09-18,221.75,223.0,217.05,220.3,220.0,3567707
2020-09-17,218.0,222.7,217.4,218.6,220.3,4404688
2020-09-16,217.95,221.0,216.05,217.45,218.6,4891756
2020-09-15,210.95,217.85,210.55,211.1,217.45,3027667
2020-09-14,214.3,217.0,209.8,212.45,211.1,4594264
2020-09-11,212.95,214.5,211.1,212.95,212.45,1841491
2020-09-10,210.8,214.45,207.3,209.45,212.95,2591779
2020-09-09,205.75,210.5,204.3,206.5,209.45,2844517
2020-09-08,210.5,210.5,205.65,210.55,206.5,2070634
2020-09-07,208.5,212.35,206.45,208.5,210.55,4220405
2020-09-04,211.7,212.6,207.0,214.6,208.5,3950171
2020-09-03,218.3,220.0,213.5,217.25,214.6,3292415
2020-09-02,213.25,218.5,211.25,213.0,217.25,3871764
2020-09-01,211.0,214.35,208.4,210.55,213.0,4386376
2020-08-31,222.5,224.1,208.55,222.45,210.55,4230653
2020-08-28,222.1,225.15,220.35,221.35,222.45,4114190
2020-08-27,222.0,223.7,220.2,220.85,221.35,2046039
2020-08-26,223.6,223.6,219.6,222.35,220.85,2595484
2020-08-25,224.6,226.2,221.1,224.2,222.35,1638069
2020-08-24,226.5,227.25,223.15,225.95,224.2,2503510
2020-08-21,226.6,228.7,224.4,225.35,225.95,1700350
2020-08-20,224.8,228.3,224.0,226.95,225.35,1540485
2020-08-19,230.2,231.85,225.7,228.2,226.95,4821016
2020-08-18,219.5,229.2,219.5,219.35,228.2,5469882
2020-08-17,221.75,222.95,218.1,220.75,219.35,2479307
2020-08-14,221.8,224.55,218.85,222.0,220.75,2751124
2020-08-13,222.3,224.85,219.8,221.8,222.0,2238707
2020-08-12,222.5,223.2,219.3,222.75,221.8,2396865
2020-08-11,222.85,229.25,221.35,221.85,222.75,6916437
2020-08-10,221.0,223.5,219.55,219.55,221.85,3306247
2020-08-07,222.0,226.25,218.6,222.95,219.55,4871444
2020-08-06,221.35,224.75,221.1,220.9,222.95,3245608
2020-08-05,221.6,224.15,219.25,221.55,220.9,4115591
2020-08-04,221.1,225.15,220.25,221.15,221.55,4706837
2020-08-03,218.5,225.8,218.5,220.1,221.15,6020129
2020-07-31,221.25,225.5,217.6,221.25,220.1,6638453
2020-07-30,216.0,222.2,213.05,215.6,221.25,5871680
2020-07-29,216.5,219.6,213.75,216.7,215.6,5678086
2020-07-28,206.75,218.85,205.8,207.15,216.7,8290471
2020-07-27,205.9,208.95,202.05,200.95,207.15,11855464
2020-07-24,197.95,202.5,196.5,197.95,200.95,5135305
2020-07-23,201.5,202.25,197.25,200.9,197.95,3302917
2020-07-22,204.95,204.95,199.1,204.95,200.9,3320086
2020-07-21,201.0,208.0,200.0,195.7,204.95,12976657
2020-07-20,195.0,197.0,194.5,193.45,195.7,2204860
2020-07-17,193.1,195.6,191.3,192.5,193.45,3254870
2020-07-16,189.45,193.0,185.7,188.65,192.5,3137669
2020-07-15,192.5,193.25,187.7,190.5,188.65,4521290
2020-07-14,197.85,199.2,190.0,198.45,190.5,4391974
2020-07-13,197.2,199.7,193.75,197.2,198.45,5213446
